ticker,source,source_message_id,timestamp,raw_text,sentiment_score,label,scored_by
AAPL,stocktwits,658798497,2026-07-10T19:58:41Z,$AAPL MMs deserve to burn in hell for their crimes,,,
AAPL,stocktwits,658798387,2026-07-10T19:57:54Z,"$AAPL 💰 short squeeze today AH  with ticker TOP Good Afternoon,  Heres a hot 🔥  tip this morning  beautiful people , if you want to 10x your money, buy TOP - FINANCIAL GROUP- going from $1.98 to  Target price of $10.00,Plus!! In July 2026, Rated a Top buy and hold! https://youtube.com/shorts/RF0byANtOAI?is=l3uR1GaYq-HN20c8",,,
AAPL,stocktwits,658798349,2026-07-10T19:57:37Z,$AAPL make it make sense…,,,
AAPL,stocktwits,658798346,2026-07-10T19:57:37Z,$AAPL MM are ruthless. Typical low volume pump for opex.  Geez! These people should go to jail!,-1.0,bearish,stocktwits_label
AAPL,stocktwits,658797924,2026-07-10T19:54:35Z,"$AAPL finishing at ATHs! High-conviction bulls never back down! 
 
An absolutely stunning, picture-perfect finish today right at all-time highs! Not a name that&#39;s usually on the daily radar, but this legendary chart is just too beautiful to ignore. Smart money is screaming. 
 
The ultimate playbook right now is clear: once we break and hold clean over $318, we can officially fly into blue-sky territory and squeeze the bears into oblivion! 
 
Full institutional flow data and Apple&#39;s next-gen breakout targets analysis on my profile.",,,
AAPL,stocktwits,658797712,2026-07-10T19:52:37Z,$AAPL,,,
AAPL,stocktwits,658797641,2026-07-10T19:51:45Z,$AAPL Iranian diplomat says Tehran ‘remains committed’ to ceasefire deal if US complies,1.0,bullish,stocktwits_label
AAPL,stocktwits,658797629,2026-07-10T19:51:38Z,$AAPL boom boom Apple 🍏🟢,1.0,bullish,stocktwits_label
AAPL,stocktwits,658797547,2026-07-10T19:50:50Z,"$AAPL had a super impressive finish today, closing right near ATHs  
 
Not a name I trade often, but this chart is impossible to ignore. Apple continues to show strength, and the market is watching closely to see if momentum can continue. 
 
A clean break and hold above $318 could open the door for another leg higher. Still watching the levels and price action from here. 
 
Are you going to miss out again?",,,
AAPL,stocktwits,658797436,2026-07-10T19:49:45Z,$NVDA $AAPL adding lotto puts for Monday. Purely a gamble; don’t follow unless you’re a degen.,,,
AAPL,stocktwits,658797239,2026-07-10T19:47:57Z,$AAPL up or down in 3-5 mins?,,,
AAPL,stocktwits,658797195,2026-07-10T19:47:30Z,$AAPL,1.0,bullish,stocktwits_label
AAPL,stocktwits,658797086,2026-07-10T19:46:37Z,$AAPL,1.0,bullish,stocktwits_label
AAPL,stocktwits,658797077,2026-07-10T19:46:35Z,$AAPL 319 close,,,
AAPL,stocktwits,658796653,2026-07-10T19:42:35Z,"Performance of the community subscriber alert feature this week 
 
$NVDA 7/15 205C @ 2.44 went 200%+ 
$NVDA 8/21 210C @ 8.58 went 42%+ (active) 
$AAPL 12/18 330C (Active) 
 
Next week’s portfolio and watchlist are live!  
  
Head back to my profile to get the latest trading strategies and market analysis.",,,
AAPL,stocktwits,658796354,2026-07-10T19:39:49Z,$AAPL $QQQ  will reach ATH if we get the Mag 7 in alignment + software sector,,,
AAPL,stocktwits,658796352,2026-07-10T19:39:48Z,$AAPL nasty work I gotta say but I’m glad I sold those puts,,,
AAPL,stocktwits,658796182,2026-07-10T19:38:14Z,$AAPL more @spotgamma #pulse alerts,1.0,bullish,stocktwits_label
AAPL,stocktwits,658796172,2026-07-10T19:38:10Z,$AAPL 317.5 EOD!!!!,1.0,bullish,stocktwits_label
AAPL,stocktwits,658796116,2026-07-10T19:37:43Z,$SPY $DIA $QQQ $AAPL bullish on Apple for new ATH,1.0,bullish,stocktwits_label
AAPL,stocktwits,658796015,2026-07-10T19:36:33Z,"$AAPL lol sold too soon, but profit is profit.",,,
AAPL,stocktwits,658795931,2026-07-10T19:35:43Z,$AAPL still obviously going to pump,,,
AAPL,stocktwits,658795924,2026-07-10T19:35:37Z,$AAPL Fly you fat fuck :D EOW fire!,1.0,bullish,stocktwits_label
AAPL,stocktwits,658795860,2026-07-10T19:34:58Z,"$AAPL 200 by November. 
https://www.macobserver.com/news/apple-iphone-sales-drop-9-in-china-despite-big-iphone-17-discounts/",-1.0,bearish,stocktwits_label
AAPL,stocktwits,658795757,2026-07-10T19:34:01Z,"$AAPL  we have to pay to survive. Are you kidding me a little pieces of paper printed with pictures of faces on it?   Vote Democrat, 2028 vote for all out socialism.",,,
AAPL,stocktwits,658795747,2026-07-10T19:33:51Z,$AAPL #boven,1.0,bullish,stocktwits_label
